name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	stein.region
RAD1	18.7504	-2.25955	-30.0910769752291	-999	RAD	R	depth	24.1873	-4.48721	-25.1599	Right PHG parahippocampal gyrus	n/a	Right EC
RAD2	21.9223	-1.40074	-28.9966116487217	-999	RAD	R	depth	28.9057	-2.99794	-24.6941	Right Cerebral White Matter	n/a	Right Amy
RAD3	27.4777	-0.684518	-27.4160992420674	-999	RAD	R	depth	35.3027	-1.59354	-23.2794	Right Amygdala	n/a	Right Amy
RAD4	33.1461	-0.490025	-27.9014619049884	-999	RAD	R	depth	41.2035	-0.0752225	-22.7102	Right Cerebral White Matter	n/a	n/a
RMD1	18.14	-9.98878	-17.1214599032969	-999	RMD	R	depth	22.6284	-13.5377	-11.9237	Right Hippocampus	n/a	Right DG
RMD2	23.6488	-8.68502	-17.0652994928863	-999	RMD	R	depth	29.2155	-11.8764	-12.0967	Right Hippocampus	n/a	Right DG
RMD3	28.4731	-8.08471	-17.4930824530831	-999	RMD	R	depth	34.1351	-11.5036	-13.2707	Right Hippocampus	n/a	Right CA1
RMD4	34.2729	-7.54295	-18.1579863060954	-999	RMD	R	depth	40.1308	-9.85686	-13.4955	Right Cerebral White Matter	n/a	n/a
RPD1	26.0754	-20.0258	-10.990416070123	-999	RPD	R	depth	29.5432	-24.8055	-4.49645	Right Hippocampus	n/a	Right CA1
RPD2	31.0088	-19.4594	-12.0277275669562	-999	RPD	R	depth	35.6451	-24.4036	-5.56713	Right Hippocampus	n/a	Right CA1
RPD3	35.8555	-17.7326	-11.0747550014146	-999	RPD	R	depth	41.641	-22.7568	-5.79187	Right Cerebral White Matter	n/a	n/a
RPD4	40.4526	-16.6799	-12.3150369634559	-999	RPD	R	depth	47.7318	-20.9817	-6.81053	Right Cerebral White Matter	n/a	n/a
RASD1	42.0049	10.7079	9.34410054584541	-999	RASD	R	depth	49.1997	10.361	10.8441	Right CO central operculum	parsopercularis	n/a
RASD2	47.9373	12.327	7.21948457599903	-999	RASD	R	depth	54.6937	12.804	9.71229	Right Cerebral White Matter	parsopercularis	n/a
RASD3	52.6364	12.0261	6.05146722782437	-999	RASD	R	depth	59.5352	10.9858	9.20186	Right OpIFG opercular part of the inferior frontal gyrus	parsopercularis	n/a
RASD4	58.8141	7.88803	4.24892646344639	-999	RASD	R	depth	64.3096	5.60818	9.40142	Right PoG postcentral gyrus	precentral	n/a
RPSD1	44.4464	6.67273	10.3727190787537	-999	RPSD	R	depth	50.1644	1.77291	13.1828	Right CO central operculum	precentral	n/a
RPSD2	51.3637	1.93891	10.3696788164677	-999	RPSD	R	depth	56.4052	-1.18692	16.2855	Right Cerebral White Matter	precentral	n/a
RPSD3	57.0014	-0.946476	13.7745245694451	-999	RPSD	R	depth	60.9672	-4.06625	18.3494	Right CO central operculum	precentral	n/a
RPSD4	62.8085	-3.18569	13.0223347442171	-999	RPSD	R	depth	65.7303	-8.07009	18.6125	Right PrG precentral gyrus	postcentral	n/a
RTG1	71.7574	-30.8606	-23.0328085663981	-999	RTG	R	grid	75.5039	-34.0231	-13.7887	n/a	inferiortemporal	n/a
RTG2	73.3145	-25.9419	-14.4162186001176	-999	RTG	R	grid	74.4756	-25.6942	-5.48546	n/a	middletemporal	n/a
RTG3	72.4638	-16.2625	-3.25178089349405	-999	RTG	R	grid	70.9987	-18.9137	3.5813	n/a	superiortemporal	n/a
RTG4	68.9923	-8.88716	6.29652021526998	-999	RTG	R	grid	66.4177	-9.94483	12.4045	n/a	postcentral	n/a
RTG5	67.7414	-0.41257	18.66804170951	-999	RTG	R	grid	62.8458	-3.25687	22.9833	n/a	precentral	n/a
RTG6	65.4571	4.18773	29.4227385992842	-999	RTG	R	grid	60.635	5.08393	32.0015	n/a	precentral	n/a
RTG7	68.0748	-20.4266	-28.72894666602	-999	RTG	R	grid	73.9157	-23.3115	-20.7765	n/a	inferiortemporal	n/a
RTG8	71.2899	-16.0936	-20.2745470570086	-999	RTG	R	grid	71.7161	-16.385	-12.6287	n/a	middletemporal	n/a
RTG9	69.2658	-5.25819	-10.5299428751957	-999	RTG	R	grid	67.135	-7.45643	-4.60974	n/a	superiortemporal	n/a
RTG10	67.2572	0.435398	-0.626329352449264	-999	RTG	R	grid	63.5631	-0.792149	5.49569	n/a	superiortemporal	n/a
RTG11	65.8501	10.2373	10.8785995137577	-999	RTG	R	grid	61.3525	7.54866	14.5138	n/a	precentral	n/a
RTG12	63.4851	14.4655	21.7321162876673	-999	RTG	R	grid	59.1362	16.5765	23.564	n/a	parsopercularis	n/a
RTG13	64.2613	-10.9632	-35.1302306000797	-999	RTG	R	grid	70.0574	-12.5296	-28.765	n/a	inferiortemporal	n/a
RTG14	68.2229	-5.85412	-26.6783611215467	-999	RTG	R	grid	69.0349	-4.88725	-20.4877	n/a	middletemporal	n/a
RTG15	63.9678	1.8377	-17.9627532059393	-999	RTG	R	grid	64.4705	1.98116	-12.5469	n/a	superiortemporal	n/a
RTG16	63.436	7.66935	-7.30568956015005	-999	RTG	R	grid	60.8874	9.99523	-2.8627	n/a	superiortemporal	n/a
RTG17	60.247	16.6271	2.0546921235047	-999	RTG	R	grid	58.576	18.8871	6.83156	n/a	parsopercularis	n/a
RTG18	62.5004	24.6198	11.1570453392218	-999	RTG	R	grid	56.3654	27.2278	15.8498	n/a	parstriangularis	n/a
RTG19	59.549	-3.6811	-41.0421937702919	-999	RTG	R	grid	62.194	-4.53671	-33.1723	n/a	inferiortemporal	n/a
RTG20	63.5744	3.82138	-34.0722342986033	-999	RTG	R	grid	64.9868	5.63785	-26.8886	n/a	middletemporal	n/a
RTG21	59.1081	9.9105	-23.3409883576025	-999	RTG	R	grid	61.6047	12.5353	-18.8442	n/a	superiortemporal	n/a
RTG22	58.6134	16.3973	-14.2738940236597	-999	RTG	R	grid	57.0237	21.4639	-10.8252	n/a	superiortemporal	n/a
RTG23	58.0958	24.5343	-6.15216117502925	-999	RTG	R	grid	55.9004	29.6644	-1.7281	n/a	parstriangularis	n/a
RTG24	59.0937	33.4699	2.25985519572016	-999	RTG	R	grid	53.7009	36.6301	7.20356	n/a	parstriangularis	n/a
RIF1	-27.8567	27.476	-33.0232428886262	-999	RIF	L	strip	-24.0594	28.4743	-22.4128	n/a	lateralorbitofrontal	n/a
RIF2	-16.8862	26.996	-31.658987055379	-999	RIF	L	strip	-13.1227	29.7376	-18.9966	n/a	lateralorbitofrontal	n/a
RIF3	-5.93905	26.4559	-29.4028150999027	-999	RIF	L	strip	-2.21857	33.1306	-20.3433	n/a	lateralorbitofrontal	n/a
RIF4	8.28128	34.3297	-31.1844652057436	-999	RIF	R	strip	10.2469	39.0569	-19.8432	n/a	medialorbitofrontal	n/a
RIF5	17.9627	36.4793	-31.0280479572042	-999	RIF	R	strip	19.4937	41.7786	-17.3239	n/a	lateralorbitofrontal	n/a
RIF6	27.5989	39.6738	-26.4656998442159	-999	RIF	R	strip	31.3836	47.6209	-12.0344	n/a	lateralorbitofrontal	n/a
RIF7	38.6167	42.4804	-20.1450723689368	-999	RIF	R	strip	41.6005	52.8613	-7.71978	n/a	parsorbitalis	n/a
RIF8	45.88	46.68	-13.6041320745363	-999	RIF	R	strip	50.3724	54.948	-1.08662	n/a	parsorbitalis	n/a
RSS1	19.9384	-69.6981	-12.8460256260164	-999	RSS	R	strip	23.4043	-81.4007	-6.40453	n/a	lingual	n/a
RSS2	33.1521	-67.0439	-16.6871502222726	-999	RSS	R	strip	32.8868	-74.1039	-10.9521	n/a	fusiform	n/a
RSS3	38.1416	-57.1871	-19.8206542733512	-999	RSS	R	strip	42.9661	-67.4794	-15.4738	n/a	fusiform	n/a
RSS4	45.2567	-48.3545	-25.5686985545274	-999	RSS	R	strip	52.9505	-60.9833	-19.2018	n/a	fusiform	n/a
RAS1	19.0535	36.912	-31.0734424392541	-999	RAS	R	strip	20.6761	41.8076	-17.2205	n/a	lateralorbitofrontal	n/a
RAS2	28.6565	34.4892	-27.6418239053209	-999	RAS	R	strip	32.9238	39.1084	-14.6508	n/a	lateralorbitofrontal	n/a
RAS3	38.9833	29.0652	-24.6024600287797	-999	RAS	R	strip	44.759	38.025	-13.6686	n/a	lateralorbitofrontal	n/a
RAS4	49.7897	28.5355	-20.0022118893058	-999	RAS	R	strip	52.3821	35.9554	-7.43927	n/a	lateralorbitofrontal	n/a
RMS1	17.5156	5.53329	-27.1492983131035	-999	RMS	R	strip	21.6267	7.6864	-24.1045	n/a	n/a	n/a
RMS2	18.9551	0.215669	-34.9217236147701	-999	RMS	R	strip	26.286	0.946423	-32.8393	n/a	n/a	n/a
RMS3	22.7069	-2.49092	-42.5988959803052	-999	RMS	R	strip	35.8637	-3.43034	-37.829	n/a	fusiform	n/a
RMS4	32.4261	-8.11034	-45.9698712143421	-999	RMS	R	strip	46.7177	-5.65926	-38.5902	n/a	inferiortemporal	n/a
RPS1	70.7722	-46.4118	-22.5309190010235	-999	RPS	R	strip	71.0932	-49.6756	-16.3885	n/a	inferiortemporal	n/a
RPS2	75.1497	-42.3512	-9.59994694127738	-999	RPS	R	strip	74.8112	-43.2908	-7.74962	n/a	inferiortemporal	n/a
RPS3	75.0088	-35.7794	0.145791739452764	-999	RPS	R	strip	74.7866	-36.5615	2.22722	n/a	middletemporal	n/a
RPS4	72.9802	-25.7942	3.09074290009134	-999	RPS	R	strip	72.4809	-28.3454	12.1142	n/a	superiortemporal	n/a
