name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	stein.region
LIOD1	-17.3666	37.6235	-29.540733094856	-999	LIOD	L	depth	-16.7381	38.9801	-23.9135	Left MOrG medial orbital gyrus	lateralorbitofrontal	n/a
LIOD2	-22.617	37.3216	-26.964733255576	-999	LIOD	L	depth	-21.4724	38.8558	-20.636	Left MOrG medial orbital gyrus	lateralorbitofrontal	n/a
LIOD3	-26.1953	36.6514	-24.8198726356972	-999	LIOD	L	depth	-25.3039	38.7419	-18.5967	Left MOrG medial orbital gyrus	lateralorbitofrontal	n/a
LIOD4	-29.6599	35.4431	-21.248424258282	-999	LIOD	L	depth	-29.0475	38.6569	-15.3918	n/a	lateralorbitofrontal	n/a
LIOD5	-32.8694	33.7408	-15.9855426582657	-999	LIOD	L	depth	-31.7125	38.6398	-11.0942	Left POrG posterior orbital gyrus	lateralorbitofrontal	n/a
LIOD6	-40.7749	32.6042	-8.36440827083752	-999	LIOD	L	depth	-35.8614	37.5692	-7.22577	Left Cerebral White Matter	lateralorbitofrontal	n/a
LIOD7	-44.9761	32.5318	-3.40741621072187	-999	LIOD	L	depth	-38.6142	37.5234	-4.09368	Left Cerebral White Matter	parstriangularis	n/a
LIOD8	-48.2708	32.6972	0.812812288338731	-999	LIOD	L	depth	-42.2677	36.4799	-0.113013	Left Cerebral White Matter	parstriangularis	n/a
LIOD9	-50.753	32.9575	4.37510302448091	-999	LIOD	L	depth	-45.0205	36.4489	3.31643	Left Cerebral White Matter	parstriangularis	n/a
LIOD10	-53.7352	33.5422	9.11431213049431	-999	LIOD	L	depth	-48.7203	36.3962	7.4635	Left Cerebral White Matter	parstriangularis	n/a
LSTGID1	-47.6344	7.04365	-9.01912987824108	-999	LSTGID	L	depth	-44.3383	6.78807	-5.11976	Left AIns anterior insula	insula	n/a
LSTGID2	-52.7547	9.81784	-10.386447423799	-999	LSTGID	L	depth	-48.5719	9.52872	-6.71044	Left TMP temporal pole	superiortemporal	n/a
LSTGID3	-57.5075	11.5747	-12.2762427035226	-999	LSTGID	L	depth	-52.8469	11.2603	-9.42218	Left TMP temporal pole	superiortemporal	n/a
LAMYD1	-17.3238	4.67953	-20.1973243592075	-999	LAMYD	L	depth	-16.4386	1.82382	-15.0852	Left Ent entorhinal area	n/a	n/a
LAMYD2	-22.591	4.57568	-21.8143747610443	-999	LAMYD	L	depth	-21.4804	1.59875	-15.8869	Left Ent entorhinal area	n/a	n/a
LAMYD3	-28.1363	3.53352	-23.0981358031693	-999	LAMYD	L	depth	-26.5222	1.37368	-16.6887	Left Ent entorhinal area	n/a	n/a
LAHD1	-18.5045	-10.0194	-17.191137612584	-999	LAHD	L	depth	-16.6745	-11.406	-12.6638	Left Hippocampus	n/a	Left CA3
LAHD2	-22.5148	-10.3503	-16.108677398445	-999	LAHD	L	depth	-20.5915	-12.5433	-12.3284	Left Hippocampus	n/a	Left CA3
LPHD1	-22.8453	-15.3968	-11.5293315964603	-999	LPHD	L	depth	-21.0462	-16.3885	-7.41563	Left Ventral DC	n/a	n/a
LPHD2	-27.6973	-16.6323	-12.7418656030447	-999	LPHD	L	depth	-26.0858	-17.6083	-8.7557	Left Hippocampus	n/a	Left CA1
LPHGD1	-19.874	-4.84705	-30.0609593861412	-999	LPHGD	L	depth	-17.7166	-7.26821	-23.9365	Left PHG parahippocampal gyrus	entorhinal	Left EC
LPHGD2	-23.7114	-4.72055	-30.8008187402591	-999	LPHGD	L	depth	-22.7584	-7.49329	-24.7382	Left Cerebral White Matter	n/a	Left EC
