name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	stein.region
AMY1	-16.6943	-3.84124	-23.6762205309247	-999	AMY	L	depth	-13.6928	-8.87397	-14.1139	Left PHG parahippocampal gyrus	n/a	n/a
AMY2	-19.0172	-2.49971	-24.43900446815	-999	AMY	L	depth	-16.0982	-7.59113	-13.9635	Left PHG parahippocampal gyrus	n/a	n/a
AMY3	-23.035	-0.395308	-25.6073384134795	-999	AMY	L	depth	-20.296	-5.02313	-13.6846	Left Amygdala	n/a	Left Amy
AMY4	-26.449	1.21045	-26.2924349349393	-999	AMY	L	depth	-23.9039	-3.09877	-13.4591	Left Amygdala	n/a	Left Amy
AMY5	-29.379	2.38035	-26.638491799531	-999	AMY	L	depth	-26.9221	-1.81802	-13.2871	Left Cerebral White Matter	n/a	n/a
AMY6	-33.3117	4.5496	-26.7537752952554	-999	AMY	L	depth	-30.5071	0.752073	-13.0297	Left Cerebral White Matter	n/a	n/a
AMY7	-36.6454	6.77551	-26.5901584132033	-999	AMY	L	depth	-33.4795	3.32426	-12.794	Left Cerebral White Matter	insula	n/a
AMY8	-40.0023	9.60901	-26.05589656584	-999	AMY	L	depth	-37.0875	5.24851	-12.5685	Left Cerebral White Matter	superiortemporal	n/a
AMY9	-42.2916	11.6269	-25.2647548647881	-999	AMY	L	depth	-40.1056	6.52937	-12.3966	Left Cerebral White Matter	superiortemporal	n/a
AMY10	-45.2135	14.4118	-24.2699401726866	-999	AMY	L	depth	-43.6906	9.09934	-12.1392	Left Cerebral White Matter	superiortemporal	n/a
AMY11	-48.1514	16.314	-23.8390545242764	-999	AMY	L	depth	-46.6858	11.0259	-11.9354	Left Cerebral White Matter	superiortemporal	n/a
AMY12	-50.9108	18.6519	-23.5277408131689	-999	AMY	L	depth	-49.6581	13.5981	-11.6997	Left Cerebral White Matter	superiortemporal	n/a
HCH1	-17.4582	-8.09796	-22.2718594310487	-999	HCH	L	depth	-15.0784	-13.3981	-14.2936	Left PHG parahippocampal gyrus	n/a	Left EC
HCH2	-19.8106	-7.89467	-22.9383812819961	-999	HCH	L	depth	-17.5296	-13.4066	-14.2071	Left Hippocampus	n/a	Left CA1
HCH3	-25.0341	-5.66318	-24.6866873358612	-999	HCH	L	depth	-22.953	-10.8429	-13.8847	Left Hippocampus	n/a	Left CA1
HCH4	-28.6013	-5.20979	-25.8434325911677	-999	HCH	L	depth	-27.2195	-10.2121	-13.7013	Left Hippocampus	n/a	Left CA1
