name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region	das.region	stein.region
RA1	18.7868	-2.50221	-27.0123405747008	-999	RA	R	depth	18.9074	-3.53688	-18.8301	n/a	n/a	Right Amy
RA2	19.6413	-2.63618	-27.063101280202	-999	RA	R	depth	20.1244	-3.50205	-18.7525	n/a	n/a	Right Amy
RA3	20.52	-2.74416	-27.0827879279458	-999	RA	R	depth	21.3416	-3.46789	-18.6758	n/a	n/a	Right Amy
RA4	23.5576	-2.8802	-28.3017837228615	-999	RA	R	depth	25.7306	-3.56198	-19.7783	n/a	n/a	n/a
RA5	26.7846	-2.81116	-29.5981163165655	-999	RA	R	depth	29.4682	-3.60211	-20.4625	n/a	n/a	n/a
RA6	32.1377	-2.27135	-29.7139360143322	-999	RA	R	depth	34.3376	-3.46419	-20.1539	n/a	n/a	n/a
RA7	35.6835	-0.326155	-29.9806294235429	-999	RA	R	depth	38.0816	-2.40782	-20.974	n/a	n/a	n/a
RA8	40.7885	1.26126	-28.6204619007069	-999	RA	R	depth	42.951	-2.2699	-20.6654	inferiortemporal	n/a	n/a
RA9	45.0037	2.55154	-29.3297082294438	-999	RA	R	depth	46.6885	-2.31003	-21.3496	middletemporal	n/a	n/a
RA10	50.8143	1.899	-30.7142513706282	-999	RA	R	depth	51.0347	-2.33277	-21.995	middletemporal	n/a	n/a
RA11	54.9718	2.24382	-29.9034330554272	-999	RA	R	depth	54.6932	-1.1332	-21.8999	middletemporal	n/a	n/a
RA12	60.8447	1.03356	-29.7108850561848	-999	RA	R	depth	59.6909	-1.21051	-22.9645	middletemporal	n/a	n/a
RB1	25.6227	-13.5414	-26.4930577114457	-999	RB	R	depth	26.7538	-14.2734	-16.9636	n/a	n/a	Right Sub
RB2	27.9516	-13.0802	-25.8997534229174	-999	RB	R	depth	29.1884	-14.2044	-16.8093	n/a	n/a	n/a
RB3	29.2687	-13.0042	-27.5882602462622	-999	RB	R	depth	30.5341	-14.3855	-18.1058	n/a	n/a	n/a
RB4	32.9842	-14.2271	-27.6314395318889	-999	RB	R	depth	34.1796	-15.3775	-17.7371	fusiform	BA36	Right PRC
RB5	37.0525	-16.0627	-28.8506638641941	-999	RB	R	depth	39.1278	-16.4793	-18.2078	fusiform	n/a	n/a
RB6	40.6696	-17.3125	-29.1845043249039	-999	RB	R	depth	42.8587	-17.6153	-18.7551	inferiortemporal	n/a	n/a
RB7	46.7262	-18.5237	-28.840654849526	-999	RB	R	depth	47.1983	-18.7345	-19.2645	inferiortemporal	n/a	n/a
RB8	51.3371	-20.3257	-28.8601803644069	-999	RB	R	depth	50.8437	-19.7273	-18.8966	inferiortemporal	n/a	n/a
RB9	56.9128	-20.0451	-29.026748934422	-999	RB	R	depth	55.7986	-19.7325	-19.5032	middletemporal	n/a	n/a
RB10	60.942	-20.3789	-29.8595321458331	-999	RB	R	depth	59.5756	-20.3923	-20.5766	middletemporal	n/a	n/a
RC1	29.1539	-30.6617	-16.4511711906272	-999	RC	R	depth	29.7473	-30.2253	-8.66492	parahippocampal	PHC	Right PHC
